Freq.	V(n61p1)
1.36772882559584e+01	(1.36963722744035e+01dB,-2.33883651764303e-02°)
1.37088176616484e+01	(1.36963711569012e+01dB,-2.34422777238536e-02°)
1.37404197501251e+01	(1.36963700402100e+01dB,-2.34963158739691e-02°)
1.37720946889394e+01	(1.36963688906697e+01dB,-2.35504744118435e-02°)
1.38038426460287e+01	(1.36963677678585e+01dB,-2.36047622240247e-02°)
1.38356637897177e+01	(1.36963666503151e+01dB,-2.36591739274114e-02°)
1.38675582887188e+01	(1.36963655104892e+01dB,-2.37137102819114e-02°)
1.38995263121334e+01	(1.36963643898864e+01dB,-2.37683741613726e-02°)
1.39315680294529e+01	(1.36963632638215e+01dB,-2.38231610926830e-02°)
1.39636836105593e+01	(1.36963621374709e+01dB,-2.38780759918609e-02°)
1.39958732257261e+01	(1.36963609943057e+01dB,-2.39331183612490e-02°)
1.40281370456195e+01	(1.36963598612484e+01dB,-2.39882861736845e-02°)
1.40604752412990e+01	(1.36963587312130e+01dB,-2.40435820914181e-02°)
1.40928879842186e+01	(1.36963575819860e+01dB,-2.40990036380235e-02°)
1.41253754462274e+01	(1.36963564441285e+01dB,-2.41545552654178e-02°)
1.41579377995707e+01	(1.36963553126447e+01dB,-2.42102342825393e-02°)
1.41905752168908e+01	(1.36963541629920e+01dB,-2.42660427287456e-02°)
1.42232878712281e+01	(1.36963530081285e+01dB,-2.43219765714192e-02°)
1.42560759360218e+01	(1.36963518830147e+01dB,-2.43780431824478e-02°)
1.42889395851109e+01	(1.36963507285989e+01dB,-2.44342357476989e-02°)
1.43218789927353e+01	(1.36963495722057e+01dB,-2.44905583351490e-02°)
1.43548943335364e+01	(1.36963484374602e+01dB,-2.45470137099801e-02°)
1.43879857825583e+01	(1.36963472863434e+01dB,-2.46035950127844e-02°)
1.44211535152486e+01	(1.36963461313767e+01dB,-2.46603099794573e-02°)
1.44543977074592e+01	(1.36963449844426e+01dB,-2.47171538085360e-02°)
1.44877185354475e+01	(1.36963438178773e+01dB,-2.47741305131753e-02°)
1.45211161758773e+01	(1.36963426635825e+01dB,-2.48312371826493e-02°)
1.45545908058195e+01	(1.36963415258155e+01dB,-2.48884765312813e-02°)
1.45881426027534e+01	(1.36963403677646e+01dB,-2.49458474216511e-02°)
1.46217717445671e+01	(1.36963391924956e+01dB,-2.50033488287408e-02°)
1.46554784095590e+01	(1.36963380510951e+01dB,-2.50609866784749e-02°)
1.46892627764385e+01	(1.36963368641884e+01dB,-2.51187514099235e-02°)
1.47231250243271e+01	(1.36963357237906e+01dB,-2.51766554164065e-02°)
1.47570653327588e+01	(1.36963345536587e+01dB,-2.52346910760362e-02°)
1.47910838816819e+01	(1.36963333844904e+01dB,-2.52928580324159e-02°)
1.48251808514594e+01	(1.36963322182413e+01dB,-2.53511603970435e-02°)
1.48593564228699e+01	(1.36963310614235e+01dB,-2.54095976658274e-02°)
1.48936107771090e+01	(1.36963298686068e+01dB,-2.54681694133107e-02°)
1.49279440957898e+01	(1.36963287095354e+01dB,-2.55268754884110e-02°)
1.49623565609442e+01	(1.36963275346820e+01dB,-2.55857186576904e-02°)
1.49968483550236e+01	(1.36963263443071e+01dB,-2.56446952130071e-02°)
1.50314196609001e+01	(1.36963251839768e+01dB,-2.57038104140046e-02°)
1.50660706618673e+01	(1.36963239989752e+01dB,-2.57630580272360e-02°)
1.51008015416413e+01	(1.36963228108867e+01dB,-2.58224435012305e-02°)
1.51356124843619e+01	(1.36963216530616e+01dB,-2.58819682933165e-02°)
1.51705036745932e+01	(1.36963204731714e+01dB,-2.59416297323827e-02°)
1.52054752973248e+01	(1.36963192864937e+01dB,-2.60014273987494e-02°)
1.52405275379728e+01	(1.36963181012340e+01dB,-2.60613634519563e-02°)
1.52756605823806e+01	(1.36963169225477e+01dB,-2.61214358268113e-02°)
1.53108746168202e+01	(1.36963157307331e+01dB,-2.61816500691243e-02°)
1.53461698279928e+01	(1.36963145543898e+01dB,-2.62420014578826e-02°)
1.53815464030302e+01	(1.36963133606811e+01dB,-2.63024938602769e-02°)
1.54170045294954e+01	(1.36963121685475e+01dB,-2.63631222313847e-02°)
1.54525443953840e+01	(1.36963109787553e+01dB,-2.64238893729783e-02°)
1.54881661891247e+01	(1.36963097850026e+01dB,-2.64848017307346e-02°)
1.55238700995807e+01	(1.36963085870508e+01dB,-2.65458513937554e-02°)
1.55596563160506e+01	(1.36963073976388e+01dB,-2.66070430026429e-02°)
1.55955250282694e+01	(1.36963061948644e+01dB,-2.66683749466228e-02°)
1.56314764264094e+01	(1.36963049980743e+01dB,-2.67298472142596e-02°)
1.56675107010813e+01	(1.36963037873388e+01dB,-2.67914630725846e-02°)
1.57036280433354e+01	(1.36963025921395e+01dB,-2.68532192065983e-02°)
1.57398286446620e+01	(1.36963013836012e+01dB,-2.69151161897662e-02°)
1.57761126969933e+01	(1.36963001817175e+01dB,-2.69771588078786e-02°)
1.58124803927037e+01	(1.36962989807663e+01dB,-2.70393464952502e-02°)
1.58489319246110e+01	(1.36962977654667e+01dB,-2.71016756354098e-02°)
1.58854674859776e+01	(1.36962965570649e+01dB,-2.71641458663824e-02°)
1.59220872705115e+01	(1.36962953511851e+01dB,-2.72267625664483e-02°)
1.59587914723672e+01	(1.36962941495683e+01dB,-2.72895227657590e-02°)
1.59955802861465e+01	(1.36962929433754e+01dB,-2.73524283378280e-02°)
1.60324539069002e+01	(1.36962917101130e+01dB,-2.74154773495599e-02°)
1.60694125301286e+01	(1.36962905070075e+01dB,-2.74786731373237e-02°)
1.61064563517825e+01	(1.36962892733994e+01dB,-2.75420137035825e-02°)
1.61435855682647e+01	(1.36962880686517e+01dB,-2.76055011275161e-02°)
1.61808003764305e+01	(1.36962868559386e+01dB,-2.76691355729866e-02°)
1.62181009735891e+01	(1.36962856332607e+01dB,-2.77329157421465e-02°)
1.62554875575047e+01	(1.36962843927295e+01dB,-2.77968407086135e-02°)
1.62929603263970e+01	(1.36962831816666e+01dB,-2.78609175738516e-02°)
1.63305194789432e+01	(1.36962819518879e+01dB,-2.79251396414348e-02°)
1.63681652142779e+01	(1.36962807311139e+01dB,-2.79895102788098e-02°)
1.64058977319952e+01	(1.36962794967658e+01dB,-2.80540285338085e-02°)
1.64437172321491e+01	(1.36962782568898e+01dB,-2.81186917150152e-02°)
1.64816239152549e+01	(1.36962770374803e+01dB,-2.81835089655900e-02°)
1.65196179822900e+01	(1.36962758000720e+01dB,-2.82484771672305e-02°)
1.65576996346951e+01	(1.36962745635003e+01dB,-2.83135939561539e-02°)
1.65958690743754e+01	(1.36962733210236e+01dB,-2.83788569540799e-02°)
1.66341265037015e+01	(1.36962721011840e+01dB,-2.84442728949871e-02°)
1.66724721255104e+01	(1.36962708613158e+01dB,-2.85098419249613e-02°)
1.67109061431069e+01	(1.36962696147819e+01dB,-2.85755590159652e-02°)
1.67494287602642e+01	(1.36962683708017e+01dB,-2.86414270493618e-02°)
1.67880401812254e+01	(1.36962671272561e+01dB,-2.87074476939885e-02°)
1.68267406107045e+01	(1.36962658825606e+01dB,-2.87736199566937e-02°)
1.68655302538872e+01	(1.36962646353251e+01dB,-2.88399487280835e-02°)
1.69044093164324e+01	(1.36962633814690e+01dB,-2.89064234719439e-02°)
1.69433780044731e+01	(1.36962621409218e+01dB,-2.89730577035612e-02°)
1.69824365246172e+01	(1.36962609011611e+01dB,-2.90398458360127e-02°)
1.70215850839493e+01	(1.36962596442089e+01dB,-2.91067835804268e-02°)
1.70608238900310e+01	(1.36962583964776e+01dB,-2.91738781725785e-02°)
1.71001531509027e+01	(1.36962571256150e+01dB,-2.92411269934360e-02°)
1.71395730750841e+01	(1.36962558838396e+01dB,-2.93085303434964e-02°)
1.71790838715757e+01	(1.36962546167965e+01dB,-2.93760868105405e-02°)
1.72186857498599e+01	(1.36962533582497e+01dB,-2.94438014610260e-02°)
1.72583789199018e+01	(1.36962521054081e+01dB,-2.95116746350519e-02°)
1.72981635921508e+01	(1.36962508244109e+01dB,-2.95796980644255e-02°)
1.73380399775412e+01	(1.36962495685945e+01dB,-2.96478860251726e-02°)
1.73780082874935e+01	(1.36962483015896e+01dB,-2.97162245936856e-02°)
1.74180687339159e+01	(1.36962470317214e+01dB,-2.97847239179249e-02°)
1.74582215292048e+01	(1.36962457788855e+01dB,-2.98533817233000e-02°)
1.74984668862464e+01	(1.36962445100943e+01dB,-2.99221949463982e-02°)
1.75388050184174e+01	(1.36962432210364e+01dB,-2.99911693333409e-02°)
1.75792361395867e+01	(1.36962419480664e+01dB,-3.00603006260351e-02°)
1.76197604641161e+01	(1.36962406981722e+01dB,-3.01295937825319e-02°)
1.76603782068614e+01	(1.36962394174632e+01dB,-3.01990439440878e-02°)
1.77010895831740e+01	(1.36962381375312e+01dB,-3.02686554967625e-02°)
1.77418948089014e+01	(1.36962368622515e+01dB,-3.03384284197954e-02°)
1.77827941003890e+01	(1.36962355773187e+01dB,-3.04083624968351e-02°)
1.78237876744807e+01	(1.36962342961221e+01dB,-3.04784560100474e-02°)
1.78648757485203e+01	(1.36962330219367e+01dB,-3.05487110275100e-02°)
1.79060585403527e+01	(1.36962317275408e+01dB,-3.06191277131107e-02°)
1.79473362683250e+01	(1.36962304434165e+01dB,-3.06897089639514e-02°)
1.79887091512877e+01	(1.36962291742504e+01dB,-3.07604485481579e-02°)
1.80301774085955e+01	(1.36962278753952e+01dB,-3.08313547687285e-02°)
1.80717412601090e+01	(1.36962265728829e+01dB,-3.09024262578379e-02°)
1.81134009261958e+01	(1.36962252891418e+01dB,-3.09736611397974e-02°)
1.81551566277311e+01	(1.36962240042846e+01dB,-3.10450543285309e-02°)
1.81970085860996e+01	(1.36962226968758e+01dB,-3.11166154026341e-02°)
1.82389570231961e+01	(1.36962214046992e+01dB,-3.11883438399924e-02°)
1.82810021614272e+01	(1.36962201017673e+01dB,-3.12602340907305e-02°)
1.83231442237119e+01	(1.36962188159483e+01dB,-3.13322935130936e-02°)
1.83653834334832e+01	(1.36962175129850e+01dB,-3.14045185924414e-02°)
1.84077200146893e+01	(1.36962161986345e+01dB,-3.14769061701150e-02°)
1.84501541917945e+01	(1.36962149133041e+01dB,-3.15494659187675e-02°)
1.84926861897805e+01	(1.36962136025316e+01dB,-3.16221897783747e-02°)
1.85353162341479e+01	(1.36962122916873e+01dB,-3.16950830680765e-02°)
1.85780445509167e+01	(1.36962109885874e+01dB,-3.17681394469867e-02°)
1.86208713666284e+01	(1.36962096665439e+01dB,-3.18413678341702e-02°)
1.86637969083464e+01	(1.36962083586592e+01dB,-3.19147655011389e-02°)
1.87068214036578e+01	(1.36962070424687e+01dB,-3.19883326404666e-02°)
1.87499450806739e+01	(1.36962057347082e+01dB,-3.20620663507995e-02°)
1.87931681680324e+01	(1.36962044216281e+01dB,-3.21359740538531e-02°)
1.88364908948977e+01	(1.36962031039576e+01dB,-3.22100505037833e-02°)
1.88799134909627e+01	(1.36962017734651e+01dB,-3.22842955412996e-02°)
1.89234361864495e+01	(1.36962004549380e+01dB,-3.23587147601080e-02°)
1.89670592121112e+01	(1.36961991453219e+01dB,-3.24333017135003e-02°)
1.90107827992327e+01	(1.36961978064785e+01dB,-3.25080629704094e-02°)
1.90546071796322e+01	(1.36961964938343e+01dB,-3.25829986631328e-02°)
1.90985325856621e+01	(1.36961951527343e+01dB,-3.26581065641650e-02°)
1.91425592502106e+01	(1.36961938226373e+01dB,-3.27333829692962e-02°)
1.91866874067026e+01	(1.36961925104747e+01dB,-3.28088407025809e-02°)
1.92309172891013e+01	(1.36961911721912e+01dB,-3.28844643731437e-02°)
1.92752491319091e+01	(1.36961898311801e+01dB,-3.29602659464631e-02°)
1.93196831701690e+01	(1.36961884932870e+01dB,-3.30362415475610e-02°)
1.93642196394658e+01	(1.36961871511368e+01dB,-3.31123921862210e-02°)
1.94088587759275e+01	(1.36961858338402e+01dB,-3.31887221748394e-02°)
1.94536008162263e+01	(1.36961844969496e+01dB,-3.32652270188993e-02°)
1.94984459975802e+01	(1.36961831558235e+01dB,-3.33419024071377e-02°)
1.95433945577537e+01	(1.36961818002677e+01dB,-3.34187570523633e-02°)
1.95884467350596e+01	(1.36961804497270e+01dB,-3.34957919128743e-02°)
1.96336027683602e+01	(1.36961791058742e+01dB,-3.35730029768532e-02°)
1.96788628970682e+01	(1.36961777792377e+01dB,-3.36503933489491e-02°)
1.97242273611483e+01	(1.36961764048684e+01dB,-3.37279575297812e-02°)
1.97696964011183e+01	(1.36961750733966e+01dB,-3.38057064995944e-02°)
1.98152702580507e+01	(1.36961737266209e+01dB,-3.38836317400734e-02°)
1.98609491735734e+01	(1.36961723594124e+01dB,-3.39617339083879e-02°)
1.99067333898716e+01	(1.36961710091372e+01dB,-3.40400146785933e-02°)
1.99526231496885e+01	(1.36961696574670e+01dB,-3.41184854302476e-02°)
1.99986186963271e+01	(1.36961683037977e+01dB,-3.41971293170029e-02°)
2.00447202736513e+01	(1.36961669400229e+01dB,-3.42759572171159e-02°)
2.00909281260870e+01	(1.36961655582953e+01dB,-3.43549659712508e-02°)
2.01372424986236e+01	(1.36961642009569e+01dB,-3.44341593469504e-02°)
2.01836636368153e+01	(1.36961628371558e+01dB,-3.45135304036846e-02°)
2.02301917867824e+01	(1.36961614892265e+01dB,-3.45930886428499e-02°)
2.02768271952125e+01	(1.36961601252989e+01dB,-3.46728257623574e-02°)
2.03235701093619e+01	(1.36961587447255e+01dB,-3.47527495535869e-02°)
2.03704207770569e+01	(1.36961573625928e+01dB,-3.48328587059470e-02°)
2.04173794466950e+01	(1.36961560020849e+01dB,-3.49131514279599e-02°)
2.04644463672464e+01	(1.36961546305461e+01dB,-3.49936268698086e-02°)
2.05116217882553e+01	(1.36961532485646e+01dB,-3.50742903159352e-02°)
2.05589059598411e+01	(1.36961518732129e+01dB,-3.51551425110334e-02°)
2.06062991326997e+01	(1.36961505078868e+01dB,-3.52361779870999e-02°)
2.06538015581050e+01	(1.36961491108723e+01dB,-3.53173961615962e-02°)
2.07014134879101e+01	(1.36961477167132e+01dB,-3.53988062457771e-02°)
2.07491351745488e+01	(1.36961463541918e+01dB,-3.54804019881407e-02°)
2.07969668710366e+01	(1.36961449717240e+01dB,-3.55621898808630e-02°)
2.08449088309726e+01	(1.36961435815808e+01dB,-3.56441637164800e-02°)
2.08929613085401e+01	(1.36961421731896e+01dB,-3.57263250243138e-02°)
2.09411245585086e+01	(1.36961407926653e+01dB,-3.58086796445478e-02°)
2.09893988362349e+01	(1.36961393938781e+01dB,-3.58912211068831e-02°)
2.10377843976644e+01	(1.36961380144743e+01dB,-3.59739528188835e-02°)
2.10862814993326e+01	(1.36961366179574e+01dB,-3.60568793473466e-02°)
2.11348903983661e+01	(1.36961352028635e+01dB,-3.61399879863528e-02°)
2.11836113524847e+01	(1.36961338173403e+01dB,-3.62232925651182e-02°)
2.12324446200018e+01	(1.36961324248653e+01dB,-3.63067927894874e-02°)
2.12813904598268e+01	(1.36961310187733e+01dB,-3.63904830736124e-02°)
2.13304491314654e+01	(1.36961296197020e+01dB,-3.64743626033293e-02°)
2.13796208950220e+01	(1.36961282107391e+01dB,-3.65584387212989e-02°)
2.14289060112002e+01	(1.36961267978869e+01dB,-3.66427086161813e-02°)
2.14783047413050e+01	(1.36961253943368e+01dB,-3.67271751027973e-02°)
2.15278173472434e+01	(1.36961239816666e+01dB,-3.68118320429601e-02°)
2.15774440915263e+01	(1.36961225679117e+01dB,-3.68966882321842e-02°)
2.16271852372698e+01	(1.36961211581890e+01dB,-3.69817369826116e-02°)
2.16770410481966e+01	(1.36961197441791e+01dB,-3.70669826509914e-02°)
2.17270117886371e+01	(1.36961183366196e+01dB,-3.71524260822415e-02°)
2.17770977235312e+01	(1.36961169210512e+01dB,-3.72380653301446e-02°)
2.18272991184297e+01	(1.36961154858301e+01dB,-3.73238957013597e-02°)
2.18776162394952e+01	(1.36961140552824e+01dB,-3.74099337585737e-02°)
2.19280493535041e+01	(1.36961126521357e+01dB,-3.74961669199255e-02°)
2.19785987278479e+01	(1.36961112179179e+01dB,-3.75825998917517e-02°)
2.20292646305342e+01	(1.36961097726697e+01dB,-3.76692287926490e-02°)
2.20800473301886e+01	(1.36961083636993e+01dB,-3.77560596496004e-02°)
2.21309470960560e+01	(1.36961069209243e+01dB,-3.78430855697816e-02°)
2.21819641980018e+01	(1.36961055187119e+01dB,-3.79303214320452e-02°)
2.22330989065137e+01	(1.36961040840595e+01dB,-3.80177527048950e-02°)
2.22843514927027e+01	(1.36961026118986e+01dB,-3.81053844260972e-02°)
2.23357222283049e+01	(1.36961011904231e+01dB,-3.81932193658730e-02°)
2.23872113856830e+01	(1.36960997431731e+01dB,-3.82812610378725e-02°)
2.24388192378273e+01	(1.36960983253723e+01dB,-3.83695015213270e-02°)
2.24905460583574e+01	(1.36960968795162e+01dB,-3.84579463034748e-02°)
2.25423921215239e+01	(1.36960954298765e+01dB,-3.85465936107820e-02°)
2.25943577022094e+01	(1.36960939792984e+01dB,-3.86354449299963e-02°)
2.26464430759302e+01	(1.36960925561401e+01dB,-3.87245007081595e-02°)
2.26986485188378e+01	(1.36960910797092e+01dB,-3.88137659577802e-02°)
